continent,country,network,netmask,src_addr,dst_addr,next_hop,input_iface,output_iface,pkts_sent,bytes_sent,start_time,end_time,src_port,dst_port,ip_proto,tos,src_as,dst_as,src_mask,dst_mask,tcp_flag_ACK,tcp_flag_CWR,tcp_flag_ECE,tcp_flag_FIN,tcp_flag_PSH,tcp_flag_RST,tcp_flag_SYN,tcp_flag_URG,flow_time
NoA,US,100.10.20.3,11,100.10.20.3,100.10.20.8,0.0.0.0,0,0,9,1420,2014-08-13 19:47:01,2014-08-21 18:45:53,1026,3070,TCP,0,0,0,0,0,1,0,0,1,1,0,1,0,687532.0
NoA,US,100.10.20.0,11,100.10.20.8,100.10.20.3,0.0.0.0,0,0,12,1393,2014-08-13 19:47:01,2014-08-21 18:45:53,3070,1026,TCP,0,0,0,0,0,1,0,0,1,1,0,1,0,687532.0
NoA,US,100.10.20.3,11,100.10.20.3,100.10.20.8,0.0.0.0,0,0,7,1036,2014-08-13 23:14:34,2014-08-21 18:45:54,61010,3083,TCP,0,0,0,0,0,1,0,0,1,1,0,1,0,675080.0
NoA,US,100.10.20.0,11,100.10.20.8,100.10.20.3,0.0.0.0,0,0,9,1059,2014-08-13 23:14:34,2014-08-21 18:45:54,3083,61010,TCP,0,0,0,0,0,1,0,0,1,1,0,1,0,675080.0
NoA,US,100.5.110.7,11,100.5.111.151,100.10.20.3,0.0.0.0,0,0,9,516,2014-08-21 18:37:20,2014-08-21 18:41:19,53787,110,TCP,0,0,0,0,0,1,0,0,1,1,0,1,0,239.0
NoA,US,100.10.20.3,11,100.10.20.3,100.5.111.151,0.0.0.0,0,0,9,692,2014-08-21 18:37:20,2014-08-21 18:41:19,110,53787,TCP,0,0,0,0,0,1,0,0,1,1,0,1,0,239.0
NoA,US,29.107.96.134,7,29.107.96.134,100.10.20.4,0.0.0.0,0,0,43,58716,2014-08-23 20:16:25,2014-08-23 20:49:57,39657,80,TCP,0,0,0,0,0,1,0,0,0,1,1,1,0,2012.0
NoA,US,100.10.20.4,11,100.10.20.4,29.107.96.134,0.0.0.0,0,0,25,1629,2014-08-23 20:16:25,2014-08-23 20:49:57,80,39657,TCP,0,0,0,0,0,1,0,0,1,1,1,1,0,2012.0
NoA,US,100.10.20.3,11,100.10.20.3,100.10.20.10,0.0.0.0,0,0,6,596,2014-08-13 19:44:27,2014-08-21 19:13:14,1026,3158,TCP,0,0,0,0,0,1,0,0,1,1,0,1,0,689327.0
NoA,US,100.10.20.2,11,100.10.20.10,100.10.20.3,0.0.0.0,0,0,8,759,2014-08-13 19:44:27,2014-08-21 19:13:14,3158,1026,TCP,0,0,0,0,0,1,0,0,1,1,0,1,0,689327.0
NoA,US,100.10.20.3,11,100.10.20.3,100.10.20.10,0.0.0.0,0,0,9,1404,2014-08-13 20:43:28,2014-08-21 19:13:15,1026,3161,TCP,0,0,0,0,0,1,0,0,1,1,0,1,0,685787.0
NoA,US,100.10.20.2,11,100.10.20.10,100.10.20.3,0.0.0.0,0,0,12,1389,2014-08-13 20:43:28,2014-08-21 19:13:15,3161,1026,TCP,0,0,0,0,0,1,0,0,1,1,0,1,0,685787.0
NoA,US,100.10.20.3,11,100.10.20.3,100.10.20.10,0.0.0.0,0,0,7,1036,2014-08-14 00:39:48,2014-08-21 19:13:15,61010,3174,TCP,0,0,0,0,0,1,0,0,1,1,0,1,0,671607.0
